Source,Size (MB),Tokens,Documents,Tokens/Document
all,An error occurred while generating the dataset,14818833098,2837740,5222
bg,16.0,2349869,204,11518
bg,16.0,2349869,204,11518
bg,16.0,2349869,204,11518
bg,16.0,2349869,204,11518
bg,16.0,2349869,204,11518
cs,8721.0,1854032189,358094,5177
cs,8721.0,1854032189,358094,5177
cs,8721.0,1854032189,358094,5177
da,45.0,9100173,1724,5278
da,45.0,9100173,1724,5278
da,45.0,9100173,1724,5278
de,33416.0,6445195067,2042912,3154
el,79.0,11955799,2503,4776
en,26252.0,5985055744,1187291,5040
es,25642.0,4721574031,716434,6590
et,667.0,136795301,30652,4462
fi,10119.0,2045785650,295257,6928
fr,13160.0,2729939226,510463,5347
ga,4.0,1053752,226,4662
hu,1623.0,311464827,41574,7491
it,14941.0,2904461592,655050,4433
lt,218.0,47305045,5282,8955
lv,0.0,60159,10,6015
mt,272.0,87744038,6857,12796
nl,100.0,20064370,3890,5157
pl,11923.0,2460480111,508405,4839
pt,5787.0,1119830380,206300,5428
ro,2513.0,492373995,74828,6580
sk,1657.0,341420661,69952,4880
sl,487.0,105533980,16677,6328
sv,2291.0,448546808,91366,4909
